artist_spotify,track_spotify,lastfm_url,listeners,playcount,tags
Morat,Nunca Te Olvidé,https://www.last.fm/music/Morat/_/Nunca+Te+Olvid%C3%A9,26453,292875,
Teddy Swims,Broke (feat. Thomas Rhett),https://www.last.fm/music/Teddy+Swims/_/Broke+(feat.+Thomas+Rhett),16709,71632,
BTS,Fly To My Room,https://www.last.fm/music/BTS/_/Fly+to+My+Room,295074,10834146,"BE, underrated, 2020, bts, yoongis  verse carried"
Ariana Grande,safety net (feat. Ty Dolla $ign),https://www.last.fm/music/Ariana+Grande/_/safety+net+(feat.+Ty+Dolla+$ign),490338,7417043,"rnb, soul, 2020, alexcore, 2020s"
TINI,Fresa,https://www.last.fm/music/Tini/_/Fresa,46851,514854,
Tiësto,Ritual,https://www.last.fm/music/Ti%C3%ABsto/_/Ritual,199975,1822645,
Olivia Dean,What Am I Gonna Do On Sundays?,https://www.last.fm/music/Olivia+Dean/_/What+Am+I+Gonna+Do+On+Sundays%3F,57231,231743,
BLACKPINK,Love To Hate Me,https://www.last.fm/music/BLACKPINK/_/Love+to+Hate+Me,316069,4483512,
BTS,We are Bulletproof : the Eternal,https://www.last.fm/music/BTS/_/We+are+Bulletproof+:+the+Eternal,370965,12404219,"k-pop, bts, synth pop, Korean, baekhyun"
Camilo,No Te Vayas,https://www.last.fm/music/Camilo/_/No+Te+Vayas,28508,213376,
BTS,Louder than bombs,https://www.last.fm/music/BTS/_/Louder+than+bombs,399234,14561400,"k-pop, Kpop, Korean, bop, bangtan"
L.A.X,Sempe,https://www.last.fm/music/L.A.X/_/Sempe,80499,433089,
mgk,bloody valentine,https://www.last.fm/music/mgk/_/Bloody+Valentine,119614,942666,
Lady Gaga,Stupid Love,https://www.last.fm/music/Lady+Gaga/_/Stupid+Love,542393,10030261,
BTS,00:00 (Zero O’Clock),https://www.last.fm/music/BTS/_/00:00+(Zero+O%E2%80%99Clock),404274,14731578,"Kpop, k-pop, bts, pop, vocal line"
Lewis Capaldi,Before You Go - Guitar Acoustic,https://www.last.fm/music/Lewis+Capaldi/_/Before+You+Go+-+Guitar+Acoustic,52127,193722,
mgk,forget me too (feat. Halsey),https://www.last.fm/music/mgk/_/forget+me+too+(feat.+Halsey),130543,1011290,
ITZY,WANNABE,https://www.last.fm/music/ITZY/_/WANNABE,559879,10657885,"k-pop, Kpop, bubblegum pop, pop, dance"
BTS,UGH!,https://www.last.fm/music/BTS/_/UGH%21,415121,14515004,"Cool song, rap, party, angry, k-pop"
Pablo Cepeda,Perfect,https://www.last.fm/music/Pablo+Cepeda/_/Perfect,2970,9794,
Rio Branco,Let Her Go,https://www.last.fm/music/Rio+Branco/_/Let+Her+Go,6801,23117,
Magdalena Bay,Killshot,https://www.last.fm/music/Magdalena+Bay/_/Killshot,668952,7600416,"pop, synthpop, electronic, dance, dance-pop"
Bossa Nova Covers,Waiting for Love,https://www.last.fm/music/Bossa+Nova+Covers/_/Waiting+for+Love,4320,14909,
Kygo,Hot Stuff,https://www.last.fm/music/Kygo/_/Hot+Stuff,73776,360646,
Pablo Cepeda,Despacito,https://www.last.fm/music/Pablo+Cepeda/_/Despacito,3573,11592,
BossArt Ensemble,Slave to Love,https://www.last.fm/music/BossArt+Ensemble/_/Slave+to+Love,4845,14324,
Morat,Bajo La Mesa,https://www.last.fm/music/Morat/_/Bajo+La+Mesa,35369,323165,
Bossa Nova Covers,Lovefool,https://www.last.fm/music/Bossa+Nova+Covers/_/Lovefool,4709,16307,
Bossa Nova Covers,Moves Like Jagger,https://www.last.fm/music/Bossa+Nova+Covers/_/Moves+Like+Jagger,4903,16922,
Ituana,More Than a Woman,https://www.last.fm/music/Ituana/_/More+Than+a+Woman,3489,12033,
Bossa Nova Covers,Break My Stride,https://www.last.fm/music/Bossa+Nova+Covers/_/Break+My+Stride,5707,19976,
