artist_id,artist_popularity,artist_followers,artist_genres
4gvjmrtzydbMpyJaXUtwvP,77,1642460,
2Tr0LY0zF1a6wvOYP42zg5,47,40233,"flamenco, flamenco pop, flamenco urbano"
0eDQlGtmwyq67ApA0Yhyfl,40,45928,"trova, nueva trova, singer-songwriter, spoken word"
75UKUI7fd2RjNRgy8oaNdt,53,148255,slowcore
4aT85lix0NSNB6w9Ozzksq,50,28030,
1dWEYMPtNmvSVaDNLgB6NV,64,782821,
1hNaHKp2Za5YdOAG0WnRbc,63,3234042,"afrobeats, afrobeat, afropop, azonto, afropiano, afro r&b, hiplife, afroswing"
0TQ494EpT0cwX3JWh87nOr,49,24547,
7qd6KGoABHifvXKeFNe2Yb,52,67390,
3tveA7l6PmZICdkhBPVvak,53,1422,
77AiFEVeAVj2ORpC85QVJs,73,3804111,"electro house, edm"
30grnL6NkXhc2j1pXJa09s,15,650,
6ax61YDjkDzWEr0Wdls9uX,34,1484,
7E2aQQjErJocovYFjYLzWU,60,513885,
5xSx2FM8mQnrfgM1QsHniB,69,5111192,
2PAyYzUdafG4mFFp6Rynsk,57,67585,
40bIh02zyyuYPI95tiEUSo,9,1077,
1ZwhhTSUPr7EBZHd1GjOT7,59,428976,
1PMYDHP6dYfHmjqDknyiO0,38,5432,
33NVpKoXjItPwUJTMZIOiY,73,2843502,
1OFOShsIbhy1l5x73yuVyB,72,1174741,"dancehall, soca, afrobeats"
5Ld19xtpAR80G2boTcHaVx,58,206328,indie folk
49muoiIu4uea4PO8vueUNN,59,954141,k-pop
6ROfszneZDogjnbgqkxA7E,53,145906,shoegaze
28ot3wh4oNmoFOdVajibBl,70,4124234,k-pop
6ilTnouFQzuDsvGY1jamfF,45,14601,
1wVNygFwP8HFf3B1T6kbDy,0,84,
6SKusTjOAPsTZ6kareKQdm,54,1497435,"k-pop, noise music"
5H18IK2f3v053mJ4t5at8w,32,11082,
3qhbc7GQRG4WLF3jnCHUla,55,88941,jersey club
7rXMvXRnWHaSwnVvPeUUfw,68,3835325,"brazilian pop, funk pop, pagode, brazilian funk"
4wLXwxDeWQ8mtUIRPxGiD6,79,11098679,"salsa, merengue, bachata, latin, latin pop"
7IIggk8FnVlf8bqQDMpHCd,1,173,
4Qz5J3GBpmR1LcPgqFbzlW,45,101146,bedroom pop
6pF6MN603wSrisJcf7HS5v,52,144201,
1b7AEdUSudOQoZF5ebUxCL,76,3044199,
3q7HBObVc0L8jNeTe5Gofh,87,19756374,"old school hip hop, east coast hip hop"
1McMsnEElThX1knmY4oliG,87,50748939,
4mPkv3XVHp9mMeSXp5Ix3D,42,10304,
4TnGh5PKbSjpYqpIdlW5nz,61,5155546,"k-pop, noise music"
66lf5bQo2BIEue1pxfgxQS,48,224316,"argentine trap, rkt, turreo, trap"
0fEj1fYIQwWj1bzzAto9rp,47,59070,
7x69bD9GDYbKkFkzFUYhTq,13,479,mizrahi
2Ix8IsJqnA9NgGVSDhi8sa,8,1437,
